train dataset: size=20260
  inp: shape=(1, 64, 64)
  coord: shape=(4096, 2)
  cell: shape=(4096, 2)
  gt: shape=(4096, 1)
val dataset: size=52
  inp: shape=(1, 864, 1536)
  coord: shape=(2073600, 2)
  cell: shape=(2073600, 2)
  gt: shape=(2073600, 1)
model: #params=34.1K
epoch 110/1000, train: loss=0.0430, val: psnr=33.8276, 35.8s 1.0h/9.4h
epoch 111/1000, train: loss=0.0429, val: psnr=33.8498, 34.3s 1.0h/9.4h
epoch 112/1000, train: loss=0.0433, val: psnr=33.8454, 34.5s 1.1h/9.4h
epoch 113/1000, train: loss=0.0431, val: psnr=33.9130, 33.3s 1.1h/9.4h
epoch 114/1000, train: loss=0.0431, val: psnr=33.8934, 33.7s 1.1h/9.4h
epoch 115/1000, train: loss=0.0429, val: psnr=33.9139, 34.3s 1.1h/9.4h
epoch 116/1000, train: loss=0.0429, val: psnr=33.8838, 32.7s 1.1h/9.4h
epoch 117/1000, train: loss=0.0432, val: psnr=33.8738, 33.1s 1.1h/9.4h
epoch 118/1000, train: loss=0.0432, val: psnr=33.8604, 33.0s 1.1h/9.4h
epoch 119/1000, train: loss=0.0430, val: psnr=33.9131, 32.8s 1.1h/9.4h
epoch 120/1000, train: loss=0.0429, val: psnr=33.9261, 33.5s 1.1h/9.4h
epoch 121/1000, train: loss=0.0429, val: psnr=33.8777, 32.5s 1.1h/9.4h
epoch 122/1000, train: loss=0.0430, val: psnr=33.8882, 32.6s 1.1h/9.4h
epoch 123/1000, train: loss=0.0431, val: psnr=33.9042, 32.5s 1.2h/9.4h
epoch 124/1000, train: loss=0.0431, val: psnr=33.8760, 32.4s 1.2h/9.4h
epoch 125/1000, train: loss=0.0433, val: psnr=33.8741, 32.3s 1.2h/9.4h
epoch 126/1000, train: loss=0.0431, val: psnr=33.8835, 32.2s 1.2h/9.4h
epoch 127/1000, train: loss=0.0431, val: psnr=33.8976, 32.4s 1.2h/9.4h
epoch 128/1000, train: loss=0.0430, val: psnr=33.8714, 32.2s 1.2h/9.4h
epoch 129/1000, train: loss=0.0433, val: psnr=33.9119, 32.6s 1.2h/9.4h
epoch 130/1000, train: loss=0.0429, val: psnr=33.9112, 32.5s 1.2h/9.4h
epoch 131/1000, train: loss=0.0429, val: psnr=33.8927, 32.6s 1.2h/9.4h
epoch 132/1000, train: loss=0.0429, val: psnr=33.8761, 32.2s 1.2h/9.4h
epoch 133/1000, train: loss=0.0429, val: psnr=33.9187, 32.2s 1.2h/9.4h
epoch 134/1000, train: loss=0.0427, val: psnr=33.8498, 32.3s 1.3h/9.3h
epoch 135/1000, train: loss=0.0432, val: psnr=33.9376, 32.3s 1.3h/9.3h
epoch 136/1000, train: loss=0.0432, val: psnr=33.9093, 35.8s 1.3h/9.4h
epoch 137/1000, train: loss=0.0431, val: psnr=33.9005, 35.4s 1.3h/9.4h
epoch 138/1000, train: loss=0.0432, val: psnr=33.9018, 35.4s 1.3h/9.4h
epoch 139/1000, train: loss=0.0430, val: psnr=33.8751, 35.7s 1.3h/9.4h
epoch 140/1000, train: loss=0.0426, val: psnr=33.9159, 34.4s 1.3h/9.4h
epoch 141/1000, train: loss=0.0429, val: psnr=33.9000, 34.7s 1.3h/9.4h
epoch 142/1000, train: loss=0.0428, val: psnr=33.9144, 32.4s 1.3h/9.4h
epoch 143/1000, train: loss=0.0432, val: psnr=33.8669, 32.2s 1.3h/9.4h
epoch 144/1000, train: loss=0.0430, val: psnr=33.9013, 32.1s 1.3h/9.4h
epoch 145/1000, train: loss=0.0430, val: psnr=33.8962, 33.2s 1.4h/9.4h
epoch 146/1000, train: loss=0.0428, val: psnr=33.9062, 32.7s 1.4h/9.4h
epoch 147/1000, train: loss=0.0433, val: psnr=33.8908, 32.1s 1.4h/9.4h
epoch 148/1000, train: loss=0.0433, val: psnr=33.9062, 32.3s 1.4h/9.3h
epoch 149/1000, train: loss=0.0430, val: psnr=33.8801, 32.9s 1.4h/9.3h
epoch 150/1000, train: loss=0.0431, val: psnr=33.8994, 32.9s 1.4h/9.3h
epoch 151/1000, train: loss=0.0430, val: psnr=33.9034, 32.2s 1.4h/9.3h
epoch 152/1000, train: loss=0.0430, val: psnr=33.9021, 33.5s 1.4h/9.3h
epoch 153/1000, train: loss=0.0427, val: psnr=33.9114, 33.0s 1.4h/9.3h
epoch 154/1000, train: loss=0.0432, val: psnr=33.8863, 33.4s 1.4h/9.3h
epoch 155/1000, train: loss=0.0429, val: psnr=33.8882, 33.9s 1.4h/9.3h
epoch 156/1000, train: loss=0.0426, val: psnr=33.9041, 32.7s 1.5h/9.3h
epoch 157/1000, train: loss=0.0431, val: psnr=33.8971, 33.1s 1.5h/9.3h
epoch 158/1000, train: loss=0.0431, val: psnr=33.9365, 33.1s 1.5h/9.3h
epoch 159/1000, train: loss=0.0430, val: psnr=33.9116, 33.3s 1.5h/9.3h
epoch 160/1000, train: loss=0.0430, val: psnr=33.8969, 33.0s 1.5h/9.3h
epoch 161/1000, train: loss=0.0427, val: psnr=33.9144, 34.2s 1.5h/9.3h
epoch 162/1000, train: loss=0.0430, val: psnr=33.9125, 34.4s 1.5h/9.3h
epoch 163/1000, train: loss=0.0426, val: psnr=33.8932, 33.8s 1.5h/9.3h
epoch 164/1000, train: loss=0.0429, val: psnr=33.9140, 34.1s 1.5h/9.3h
epoch 165/1000, train: loss=0.0427, val: psnr=33.9193, 35.4s 1.5h/9.3h
epoch 166/1000, train: loss=0.0429, val: psnr=33.9268, 32.7s 1.6h/9.3h
epoch 167/1000, train: loss=0.0431, val: psnr=33.8623, 32.7s 1.6h/9.3h
epoch 168/1000, train: loss=0.0431, val: psnr=33.9230, 32.6s 1.6h/9.3h
epoch 169/1000, train: loss=0.0430, val: psnr=33.9050, 33.4s 1.6h/9.3h
epoch 170/1000, train: loss=0.0431, val: psnr=33.9279, 34.7s 1.6h/9.3h
epoch 171/1000, train: loss=0.0430, val: psnr=33.8572, 35.5s 1.6h/9.3h
epoch 172/1000, train: loss=0.0428, val: psnr=33.9081, 33.7s 1.6h/9.3h
epoch 173/1000, train: loss=0.0431, val: psnr=33.9210, 32.7s 1.6h/9.3h
epoch 174/1000, train: loss=0.0429, val: psnr=33.9134, 33.9s 1.6h/9.3h
epoch 175/1000, train: loss=0.0430, val: psnr=33.9194, 34.0s 1.6h/9.3h
epoch 176/1000, train: loss=0.0429, val: psnr=33.9088, 32.8s 1.6h/9.3h
epoch 177/1000, train: loss=0.0432, val: psnr=33.8985, 32.9s 1.7h/9.3h
epoch 178/1000, train: loss=0.0430, val: psnr=33.8999, 32.5s 1.7h/9.3h
epoch 179/1000, train: loss=0.0429, val: psnr=33.9263, 32.3s 1.7h/9.3h
epoch 180/1000, train: loss=0.0430, val: psnr=33.8953, 32.5s 1.7h/9.3h
epoch 181/1000, train: loss=0.0430, val: psnr=33.8954, 32.4s 1.7h/9.3h
epoch 182/1000, train: loss=0.0429, val: psnr=33.9252, 32.5s 1.7h/9.3h
epoch 183/1000, train: loss=0.0430, val: psnr=33.8965, 32.6s 1.7h/9.3h
epoch 184/1000, train: loss=0.0427, val: psnr=33.8859, 32.6s 1.7h/9.3h
epoch 185/1000, train: loss=0.0429, val: psnr=33.9048, 32.8s 1.7h/9.3h
epoch 186/1000, train: loss=0.0428, val: psnr=33.8645, 32.9s 1.7h/9.3h
epoch 187/1000, train: loss=0.0429, val: psnr=33.9040, 32.7s 1.7h/9.3h
epoch 188/1000, train: loss=0.0429, val: psnr=33.9196, 32.8s 1.8h/9.3h
epoch 189/1000, train: loss=0.0428, val: psnr=33.9146, 32.6s 1.8h/9.3h
epoch 190/1000, train: loss=0.0433, val: psnr=33.9072, 32.7s 1.8h/9.3h
epoch 191/1000, train: loss=0.0429, val: psnr=33.9186, 32.8s 1.8h/9.3h
epoch 192/1000, train: loss=0.0430, val: psnr=33.9303, 32.7s 1.8h/9.3h
epoch 193/1000, train: loss=0.0430, val: psnr=33.9264, 32.6s 1.8h/9.3h
epoch 194/1000, train: loss=0.0429, val: psnr=33.8862, 32.7s 1.8h/9.3h
epoch 195/1000, train: loss=0.0431, val: psnr=33.9452, 32.6s 1.8h/9.3h
epoch 196/1000, train: loss=0.0430, val: psnr=33.9011, 32.3s 1.8h/9.3h
epoch 197/1000, train: loss=0.0428, val: psnr=33.9277, 32.4s 1.8h/9.3h
epoch 198/1000, train: loss=0.0427, val: psnr=33.9384, 32.3s 1.8h/9.3h
epoch 199/1000, train: loss=0.0431, val: psnr=33.9165, 32.6s 1.9h/9.3h
epoch 200/1000, train: loss=0.0427, val: psnr=33.9304, 32.5s 1.9h/9.3h
epoch 201/1000, train: loss=0.0432, val: psnr=33.9192, 32.5s 1.9h/9.3h
epoch 202/1000, train: loss=0.0431, val: psnr=33.9320, 32.5s 1.9h/9.3h
epoch 203/1000, train: loss=0.0430, val: psnr=33.9280, 32.4s 1.9h/9.3h
epoch 204/1000, train: loss=0.0429, val: psnr=33.9385, 32.6s 1.9h/9.3h
epoch 205/1000, train: loss=0.0426, val: psnr=33.9440, 32.6s 1.9h/9.3h
epoch 206/1000, train: loss=0.0428, val: psnr=33.9205, 32.7s 1.9h/9.3h
epoch 207/1000, train: loss=0.0430, val: psnr=33.9071, 32.4s 1.9h/9.3h
epoch 208/1000, train: loss=0.0430, val: psnr=33.9231, 33.0s 1.9h/9.3h
epoch 209/1000, train: loss=0.0428, val: psnr=33.9302, 33.7s 1.9h/9.3h
epoch 210/1000, train: loss=0.0430, val: psnr=33.9327, 32.6s 2.0h/9.3h
epoch 211/1000, train: loss=0.0427, val: psnr=33.9440, 32.7s 2.0h/9.3h
epoch 212/1000, train: loss=0.0428, val: psnr=33.9079, 32.7s 2.0h/9.3h
epoch 213/1000, train: loss=0.0428, val: psnr=33.9213, 32.6s 2.0h/9.3h
epoch 214/1000, train: loss=0.0429, val: psnr=33.9111, 32.6s 2.0h/9.3h
epoch 215/1000, train: loss=0.0427, val: psnr=33.9332, 32.5s 2.0h/9.3h
epoch 216/1000, train: loss=0.0432, val: psnr=33.9286, 32.9s 2.0h/9.3h
epoch 217/1000, train: loss=0.0426, val: psnr=33.9045, 32.7s 2.0h/9.3h
epoch 218/1000, train: loss=0.0427, val: psnr=33.9351, 34.5s 2.0h/9.3h
epoch 219/1000, train: loss=0.0429, val: psnr=33.9347, 33.8s 2.0h/9.3h
epoch 220/1000, train: loss=0.0430, val: psnr=33.9379, 33.7s 2.0h/9.3h
